cls_elec,ct,disp,int,mod_pauli,pol,index
-2288.5013,-169.0427,-41.2737,-1756.2916999999998,1072.6147,-330.0887,1
-2287.5054,-170.0527,-41.3267,-1756.7244,1072.4413,-330.2809,2
-2284.5088,-172.9977,-41.4906,-1757.8275,1071.9973,-330.8277,3
-2279.4952,-177.6045,-41.7972,-1759.1288999999997,1071.4447,-331.6767,4
-2272.4801,-183.5097,-42.3094,-1759.8958000000005,1071.1613,-332.7579,5
-2263.611,-190.4013,-43.1189,-1759.2548999999997,1071.9145,-334.0382,6
-2253.4026,-198.1232,-44.3767,-1756.2179999999998,1075.2496,-335.5651,7
-2243.2976,-206.6764,-46.2991,-1749.3757999999998,1084.4974,-337.6001,8
-2237.0114,-216.2429,-49.1953,-1736.1468,1107.0568,-340.754,9
-2243.832,-227.4961,-53.4668,-1710.838,1160.2276,-346.2707,10
-2150.1329,-140.3244,-36.1327,-1821.8953999999999,807.5172,-302.8226,11
-2149.1364,-141.1076,-36.1786,-1821.9839999999997,807.4054,-302.9668,12
-2146.1283,-143.4011,-36.3225,-1822.1325999999997,807.1154,-303.3961,13
-2141.0603,-147.0185,-36.5957,-1821.989,806.7583,-304.0728,14
-2133.8784,-151.6855,-37.0508,-1820.9686000000002,806.607,-304.9609,15
-2124.5898,-157.1603,-37.7702,-1818.3783,807.1927,-306.0507,16
-2113.4269,-163.3275,-38.8977,-1813.4114,809.6206,-307.3799,17
-2101.2609,-170.2166,-40.6307,-1805.0090000000002,816.2351,-309.1359,18
-2090.6334,-177.9918,-43.2684,-1791.1536,832.4939,-311.7539,19
-2088.3741,-187.1273,-47.229,-1767.4904000000004,871.3837,-316.1437,20
-2032.7898,-119.2167,-31.4863,-1854.2832,609.6139,-280.4043,21
-2031.8052,-119.8383,-31.5256,-1854.1347,609.5436,-280.5092,22
-2028.8273,-121.6593,-31.6521,-1853.6055999999999,609.3514,-280.8183,23
-2023.7872,-124.5503,-31.8896,-1852.4114,609.1296,-281.3139,24
-2016.5855,-128.3128,-32.2868,-1850.1059999999998,609.0579,-281.9788,25
-2007.1339,-132.7547,-32.9243,-1846.1146999999999,609.5152,-282.817,26
-1995.4679,-137.7823,-33.9219,-1839.7539000000002,611.2978,-283.8796,27
-1982.043,-143.4325,-35.4756,-1830.1966,616.0641,-285.3096,28
