cls_elec,ct,disp,int,mod_pauli,pol,index
-803.4909,-49.8416,-49.327,-561.3365,400.6621,-59.3391,1
-802.6358,-50.0882,-49.3178,-561.3340999999999,400.416,-59.7083,2
-800.0396,-50.7997,-49.3204,-561.2535,399.693,-60.7868,3
-795.6085,-51.8949,-49.3243,-560.7918000000001,398.5369,-62.501,4
-789.179,-53.2574,-49.3671,-559.5402,397.0148,-64.7515,5
-780.5101,-54.7759,-49.4571,-556.9676,395.2136,-67.4381,6
-769.2777,-56.3848,-49.7165,-552.6207999999999,393.2534,-70.4952,7
-755.0921,-58.0866,-50.2076,-545.9559999999999,391.354,-73.9237,8
-737.6105,-59.9486,-51.1537,-536.4587,390.074,-77.8199,9
-716.985,-62.0853,-52.8935,-523.2852,391.1052,-82.4266,10
-752.1116,-42.6219,-42.0159,-577.2077,306.6289,-47.0872,11
-751.2809,-42.8113,-42.0156,-577.0725,306.4463,-47.411,12
-748.7584,-43.3606,-42.0225,-576.598,305.9087,-48.3652,13
-744.451,-44.217,-42.0367,-575.552,305.0462,-49.8935,14
-738.1961,-45.2974,-42.0829,-573.5928,303.905,-51.9214,15
-729.7511,-46.5186,-42.1951,-570.2968999999999,302.5464,-54.3785,16
-718.7817,-47.8323,-42.4261,-565.2007,301.0569,-57.2175,17
-704.8636,-49.2392,-42.8757,-557.8263,299.5957,-60.4435,18
-687.5465,-50.7968,-43.7225,-547.6504,298.5664,-64.151,19
-666.6702,-52.606,-45.2878,-533.9221,299.2023,-68.5604,20
-709.3905,-36.3029,-35.8454,-584.9297,235.0908,-38.4817,21
-708.5833,-36.4473,-35.8434,-584.6912,234.9549,-38.7721,22
-706.1319,-36.8699,-35.8555,-583.9331000000001,234.554,-39.6298,23
-701.9446,-37.5344,-35.8735,-582.4569,233.9088,-41.0132,24
-695.8604,-38.3842,-35.9286,-579.9854,233.0512,-42.8634,25
-687.6376,-39.3593,-36.0249,-576.1229000000001,232.0247,-45.1258,26
-676.9378,-40.4239,-36.2435,-570.4778000000001,230.8923,-47.7649,27
-663.3156,-41.5832,-36.6451,-562.5678,229.7706,-50.7945,28
-646.2486,-42.8848,-37.4045,-551.8904,228.9535,-54.306,29
-625.35,-44.4133,-38.8096,-537.7334000000001,229.3416,-58.5021,30
-673.3858,-30.7521,-30.6627,-586.6714,180.5746,-32.4454,31
-672.6012,-30.8622,-30.6674,-586.3665,180.4731,-32.7088,32
-670.2181,-31.1867,-30.6752,-585.3937,180.1733,-33.487,33
-666.1464,-31.6999,-30.702,-583.6062,179.6895,-34.7474,34
-660.2277,-32.3633,-30.749,-580.7410000000001,179.0437,-36.4447,35
-652.2223,-33.1387,-30.8475,-576.4742,178.267,-38.5327,36
-641.7917,-34.0006,-31.0391,-570.4098,177.4055,-40.9839,37
-628.4791,-34.9548,-31.3984,-562.1049,176.5457,-43.8183,38
-611.7153,-36.0432,-32.0719,-551.0509999999999,175.9037,-47.1243,39
-590.9515,-37.34,-33.3299,-536.5778,176.139,-51.0954,40
-642.6276,-25.883,-26.2724,-584.1035,138.9625,-28.283,41
-641.8646,-25.968,-26.2741,-583.7438,138.8865,-28.5236,42
-639.547,-26.2167,-26.2842,-582.6205,138.6619,-29.2345,43
