cls_elec,ct,disp,int,mod_pauli,pol,index
-1114.5823,-86.9332,-36.6131,-673.2487,666.2165,-101.3366,1
-1113.4768,-87.3979,-36.6089,-674.2345999999999,665.6721,-102.4231,2
-1110.1203,-88.706,-36.592,-676.8980000000001,664.0785,-105.5582,3
-1104.3901,-90.6303,-36.5492,-680.4247000000001,661.5508,-110.4059,4
-1096.0717,-92.8972,-36.4794,-683.7058999999999,658.255,-116.5126,5
-1084.8434,-95.2854,-36.4103,-685.5978,654.3849,-123.4436,6
-1070.2552,-97.6906,-36.3801,-685.0864000000001,650.136,-130.8965,7
-1051.7052,-100.1374,-36.4077,-681.3183000000001,645.7032,-138.7712,8
-1028.4332,-102.7556,-36.4924,-673.5183,641.3455,-147.1826,9
-999.6019,-105.751,-36.6256,-660.7312999999999,637.6638,-156.4166,10
-1016.5392,-66.9957,-29.8047,-700.4417,490.0781,-77.1802,11
-1015.4745,-67.3278,-29.8053,-701.0015,489.6927,-78.0866,12
-1012.2415,-68.2688,-29.7919,-702.4613999999999,488.5616,-80.7208,13
-1006.7197,-69.6739,-29.7535,-704.242,486.7557,-84.8506,14
-998.698,-71.3628,-29.7142,-705.5543,484.3787,-90.158,15
-987.8584,-73.1852,-29.7035,-705.5145999999999,481.5519,-96.3194,16
-973.7517,-75.0647,-29.7197,-703.2284999999999,478.3997,-103.0921,17
-955.7673,-77.0158,-29.7708,-697.8774,475.0529,-110.3764,18
-933.1063,-79.1477,-29.8548,-688.64,471.6984,-118.2296,19
-904.8088,-81.6321,-30.0223,-674.5337000000001,468.7772,-126.8477,20
-938.2818,-51.8056,-24.4745,-712.8854,362.038,-60.3615,21
-937.2559,-52.0452,-24.4735,-713.1419000000001,361.763,-61.1303,22
-934.1401,-52.7282,-24.4763,-713.7698,360.9539,-63.3791,23
-928.8167,-53.7603,-24.4686,-714.3326000000001,359.6549,-66.9419,24
-921.0788,-55.0191,-24.4529,-714.2100999999999,357.931,-71.5903,25
-910.6135,-56.4007,-24.4427,-712.686,355.8578,-77.0869,26
-896.9759,-57.8575,-24.456,-709.0127,353.5138,-83.2371,27
-879.5539,-59.4059,-24.5131,-702.4267,350.9867,-89.9405,28
