cls_elec,ct,disp,int,mod_pauli,pol,index,distances
-794.6062,-111.0334,-15.5009,-259.7404999999999,860.6779,-199.2779,1,1.4273134221999997
-779.6137,-86.3893,-13.7499,-419.27330000000006,622.6143,-162.1347,2,1.5273134221999998
-758.2487,-67.79,-12.0397,-522.4617,451.5641,-135.9474,3,1.6273134221999999
-733.62,-54.0985,-10.4533,-586.2532,328.6654,-116.7468,4,1.7273134222
-707.5924,-44.2009,-9.0215,-622.7419,240.1853,-102.1124,5,1.8273134222
-681.3,-37.0514,-7.7506,-640.4599999999999,176.2751,-90.6331,6,1.9273134221999997
-655.4328,-31.7737,-6.6308,-645.3658,129.9243,-81.4528,7,2.0273134221999998
-630.4022,-27.7132,-5.6445,-641.6246000000001,96.1623,-74.027,8,2.1273134221999994
-606.4397,-24.437,-4.7882,-632.1266,71.4661,-67.9278,9,2.2273134222
-583.6599,-21.6868,-4.0387,-618.9005,53.3212,-62.8363,10,2.3273134221999996
-562.1021,-19.3324,-3.3904,-603.3543,39.9349,-58.4643,11,2.4273134222
-541.7581,-17.3108,-2.8273,-586.4714000000001,30.0188,-54.594,12,2.5273134221999998
-522.5905,-15.5965,-2.3454,-568.9319,22.6467,-51.0462,13,2.6273134221999994
-504.5458,-14.1719,-1.9364,-551.2079,17.1416,-47.6954,14,2.7273134222
-487.562,-13.0175,-1.5902,-533.6219,13.019,-44.4712,15,2.8273134221999996
-471.5738,-12.1095,-1.2983,-516.3954,9.9165,-41.3303,16,2.9273134222
-456.5156,-11.4122,-1.0573,-499.66429999999997,7.5797,-38.2589,17,3.0273134221999998
-442.3235,-10.8845,-0.856,-483.526,5.8091,-35.2711,18,3.1273134221999994
-428.9366,-10.4832,-0.6929,-468.02670000000006,4.4677,-32.3817,19,3.2273134222
-416.297,-10.1664,-0.5605,-453.1928,3.446,-29.6149,20,3.3273134221999996
-404.3509,-9.8953,-0.4504,-439.03060000000005,2.6671,-27.0011,21,3.4273134222
-393.0478,-9.6402,-0.3625,-425.5306,2.0736,-24.5537,22,3.5273134221999998
-382.3413,-9.3803,-0.2926,-412.67949999999996,1.6173,-22.2826,23,3.6273134221999994
-372.1883,-9.101,-0.2359,-400.45330000000007,1.2677,-20.1958,24,3.7273134222
-362.5494,-8.7951,-0.1907,-388.82779999999997,0.9987,-18.2913,25,3.8273134222000005
-353.3881,-8.4607,-0.155,-377.7765,0.7897,-16.5624,26,3.9273134222
-344.6712,-8.1,-0.1262,-367.26980000000003,0.6284,-15.0008,27,4.0273134222
-336.368,-7.7163,-0.1027,-357.2787,0.5038,-13.5955,28,4.127313422199999
-328.4507,-7.3151,-0.0839,-347.7784,0.4051,-12.3338,29,4.2273134222
-320.8936,-6.9024,-0.0691,-338.7398,0.3273,-11.202,30,4.3273134222000005
-313.673,-6.4852,-0.0576,-330.1359,0.2667,-10.1868,31,4.4273134222
-306.7674,-6.0683,-0.0482,-321.94280000000003,0.2183,-9.2772,32,4.5273134222
-300.1569,-5.656,-0.0402,-314.13720000000006,0.1785,-8.4626,33,4.6273134222
-293.8233,-5.2528,-0.0339,-306.6949,0.1472,-7.7321,34,4.727313422200001
-287.7497,-4.8625,-0.0289,-299.59460000000007,0.1226,-7.0761,35,4.8273134222
-281.9207,-4.4876,-0.0247,-292.8175,0.1018,-6.4863,36,4.9273134222
-276.3219,-4.1297,-0.0211,-286.3447,0.0839,-5.9559,37,5.0273134222
-270.9401,-3.7904,-0.018,-280.1567999999999,0.0698,-5.4781,38,5.1273134222
-265.763,-3.4709,-0.0155,-274.2373999999999,0.0587,-5.0467,39,5.227313422199999
-260.7793,-3.1717,-0.0135,-268.5718,0.0489,-4.6562,40,5.3273134222000005
-255.9784,-2.8928,-0.0118,-263.1454,0.0402,-4.3026,41,5.4273134222
-251.3506,-2.6339,-0.0103,-257.9434,0.0335,-3.9821,42,5.5273134222
-246.8866,-2.3947,-0.009,-252.95279999999997,0.0284,-3.6909,43,5.6273134221999985
-242.5781,-2.1749,-0.0079,-248.16300000000004,0.0238,-3.4259,44,5.7273134222
-238.4171,-1.9739,-0.007,-243.5631,0.0192,-3.1843,45,5.8273134222
-234.3961,-1.791,-0.0062,-239.14159999999998,0.0154,-2.9637,46,5.9273134222
-230.5083,-1.6254,-0.0055,-234.88840000000002,0.0129,-2.7621,47,6.0273134222000015
-226.7472,-1.4765,-0.0048,-230.79489999999998,0.011,-2.5774,48,6.127313422199999
-223.1067,-1.3433,-0.0043,-226.8532,0.0091,-2.408,49,6.227313422200001
-219.5812,-1.225,-0.0038,-223.05519999999999,0.0072,-2.2524,50,6.327313422199999
-216.1652,-1.1209,-0.0034,-219.3931,0.0057,-2.1093,51,6.4273134222
-212.8538,-1.0301,-0.003,-215.8594,0.0049,-1.9774,52,6.5273134222
-209.6423,-0.9517,-0.0027,-212.44799999999998,0.0045,-1.8558,53,6.627313422199999
-206.5263,-0.885,-0.0024,-209.15339999999998,0.0037,-1.7434,54,6.7273134222
-203.5014,-0.8293,-0.0022,-205.96989999999997,0.0025,-1.6395,55,6.8273134222
