cls_elec,ct,disp,int,mod_pauli,pol,index
-1388.9216,-87.2501,-27.4101,-917.0955999999999,690.1756,-103.6894,1
-1387.6407,-87.4582,-27.5027,-915.7147,690.7051,-103.8182,2
-1383.8238,-88.0788,-27.794,-911.4758999999999,692.4329,-104.2122,3
-1377.5683,-89.1115,-28.3213,-904.0795999999998,695.8211,-104.8996,4
-1369.1129,-90.564,-29.1516,-892.9654,701.8034,-105.9403,5
-1358.9899,-92.4621,-30.3848,-877.1713000000001,712.117,-107.4515,6
-1348.3362,-94.8911,-32.1665,-855.0678999999999,729.9905,-109.6646,7
-1339.5302,-98.0656,-34.6974,-823.7455,761.5994,-113.0517,8
-1337.5363,-102.4371,-38.247,-777.5964999999999,819.2559,-118.632,9
-1352.8244,-109.0081,-43.1616,-705.0211999999999,928.7245,-128.7516,10
-1310.8791,-70.7636,-22.8125,-1006.0731000000001,478.4945,-80.1124,11
-1309.508,-70.8947,-22.8887,-1004.6593,478.8241,-80.192,12
-1305.3931,-71.2879,-23.1285,-1000.3446000000001,479.9025,-80.4376,13
-1298.5432,-71.9578,-23.564,-992.9155999999999,482.0214,-80.872,14
-1289.0225,-72.9347,-24.2529,-981.9774,485.7748,-81.5421,15
-1277.0531,-74.2536,-25.285,-966.8462,492.2841,-82.5386,16
-1263.2305,-75.9704,-26.792,-946.3640999999999,503.6643,-84.0355,17
-1248.9771,-78.2179,-28.9641,-918.5126,524.0265,-86.38,18
-1237.5239,-81.2923,-32.0635,-879.4663999999998,561.7109,-90.2976,19
-1236.1131,-85.8243,-36.4507,-821.2444,634.5565,-97.4128,20
-1241.0508,-57.5342,-18.9768,-1046.0991999999999,335.9904,-64.5278,21
-1239.6529,-57.6229,-19.0406,-1044.6955,336.2015,-64.5806,22
-1235.4405,-57.8859,-19.2406,-1040.4221,336.8906,-64.7457,23
-1228.3651,-58.3348,-19.6035,-1033.1061,338.2415,-65.0442,24
-1218.3768,-59.0024,-20.1769,-1022.4401,340.6344,-65.5184,25
-1205.4899,-59.9262,-21.04,-1007.904,344.7976,-66.2455,26
-1189.9299,-61.1523,-22.3116,-988.6357,352.1257,-67.3676,27
-1172.4546,-62.7688,-24.1647,-963.1748000000001,365.366,-69.1527,28
-1155.0697,-64.975,-26.8496,-928.8354,390.1997,-72.1408,29
-1142.6766,-68.1989,-30.7201,-880.0666,439.0282,-77.4992,30
-1177.8975,-46.4854,-15.782,-1056.0756000000001,238.7619,-54.6726,31
-1176.5095,-46.5483,-15.8354,-1054.6983,238.9,-54.7051,32
-1172.3159,-46.7358,-16.0012,-1050.5140000000001,239.3487,-54.8098,33
-1165.2328,-47.0579,-16.3032,-1043.3759,240.2257,-55.0077,34
-1155.1371,-47.5423,-16.7824,-1033.0247,241.7774,-55.3403,35
-1141.9061,-48.2203,-17.5062,-1019.0337,244.4794,-55.8805,36
-1125.513,-49.1318,-18.5784,-1000.7239,249.2529,-56.7536,37
-1106.2509,-50.342,-20.157,-976.9916,257.9426,-58.1843,38
-1085.2522,-51.989,-22.4713,-945.8765,274.434,-60.598,39
-1065.7211,-54.3715,-25.8614,-903.4466,307.3818,-64.8744,40
-1120.3687,-37.3011,-13.0981,-1047.7145,171.5634,-48.51,41
-1119.0106,-37.345,-13.143,-1046.3694,171.6549,-48.5257,42
-1114.9006,-37.4807,-13.2834,-1042.2927,171.9509,-48.5789,43
-1107.9336,-37.7255,-13.5363,-1035.3582000000001,172.5297,-48.6925,44
-1097.9414,-38.1034,-13.9368,-1025.3364,173.5525,-48.9073,45
-1084.7132,-38.6381,-14.5428,-1011.8534999999999,175.3341,-49.2935,46
-1068.0536,-39.3593,-15.4467,-994.3434,178.4834,-49.9672,47
-1047.9318,-40.3209,-16.7885,-971.9266000000001,184.2433,-51.1287,48
-1024.854,-41.6229,-18.779,-943.1162,195.2768,-53.1371,49
-1000.7845,-43.476,-21.737,-905.0391,217.6472,-56.6888,50
-1067.6993,-29.8363,-10.8464,-1028.3349,124.5489,-44.5018,51
-1066.3813,-29.8685,-10.8834,-1027.027,124.6102,-44.504,52
-1062.3885,-29.9723,-11.0003,-1023.0703000000001,124.8082,-44.5174,53
-1055.6039,-30.1693,-11.2116,-1016.3520000000001,125.1951,-44.5623,54
-1045.8328,-30.4829,-11.5463,-1006.6598999999999,125.8797,-44.6776,55
-1032.8103,-30.9328,-12.0547,-993.6591000000002,127.0694,-44.9307,56
-1016.2312,-31.5418,-12.8166,-976.8473999999999,129.1748,-45.4326,57
-995.8429,-32.3543,-13.9549,-955.4890999999999,133.0321,-46.3691,58
-971.7038,-33.4509,-15.6596,-928.4013,140.4719,-48.0589,59
-944.8661,-34.9796,-18.2266,-893.4026,155.7529,-51.0832,60
-1019.2995,-23.9604,-8.9544,-1002.5282,91.2743,-41.5882,61
-1018.0262,-23.9863,-8.9847,-1001.2626,91.3153,-41.5807,62
-1014.1659,-24.0733,-9.0798,-997.4335,91.4486,-41.5631,63
-1007.5956,-24.2418,-9.2543,-990.9363000000001,91.7097,-41.5543,64
-998.1064,-24.5134,-9.534,-981.571,92.173,-41.5902,65
