cls_elec,ct,disp,int,mod_pauli,pol,index,distances
-1816.1809,-62.3663,-15.6848,-661.3666,1694.5186,-461.6532,1,1.5010917015999996
-1703.904,-53.9987,-15.442,-973.229,1221.156,-421.0403,2,1.6010917015999997
-1605.3296,-50.7334,-14.5748,-1175.5663,882.0759,-387.0044,3,1.7010917015999998
-1518.1904,-50.0553,-13.3961,-1300.5438,639.2921,-358.1941,4,1.8010917015999999
-1440.4932,-50.7444,-12.1199,-1371.8048999999999,465.1623,-333.6097,5,1.9010917015999995
-1370.6429,-52.2257,-10.8287,-1406.2441000000001,339.8949,-312.4417,6,2.0010917016
-1307.3985,-54.2263,-9.5989,-1415.7269000000001,249.4358,-293.939,7,2.1010917015999997
-1249.7914,-56.6004,-8.4242,-1408.5533,183.8351,-277.5724,8,2.2010917015999993
-1197.0525,-59.309,-7.3491,-1390.4755,136.0637,-262.8286,9,2.3010917016
-1148.5586,-62.3898,-6.3673,-1365.5218,101.1222,-249.3283,10,2.4010917015999995
-1103.7965,-65.9517,-5.4687,-1336.4742999999999,75.4584,-236.7158,11,2.5010917016
-1062.3383,-70.1633,-4.6735,-1305.2741,56.5276,-224.6266,12,2.6010917015999997
-1023.8241,-75.173,-3.9566,-1273.2606,42.509,-212.8159,13,2.7010917015999993
-987.9485,-81.1164,-3.3341,-1241.363,32.0768,-201.0408,14,2.8010917016
-954.4503,-88.0646,-2.7938,-1210.1942,24.2893,-189.1748,15,2.9010917015999995
-923.1037,-96.0132,-2.3307,-1180.1731,18.4484,-177.1739,16,3.0010917016
-893.7121,-104.8775,-1.9292,-1151.5447000000001,14.059,-165.0849,17,3.1010917015999997
-866.1026,-114.5234,-1.596,-1124.4595,10.7448,-152.9823,18,3.2010917015999993
-840.1223,-124.7696,-1.3164,-1098.9817,8.2356,-141.009,19,3.3010917016
-815.6346,-135.419,-1.083,-1075.1225,6.3329,-129.3188,20,3.4010917015999995
-792.5176,-146.2789,-0.8927,-1052.862,4.8867,-118.0595,21,3.5010917016
-770.6615,-157.1775,-0.7346,-1032.154,3.7856,-107.366,22,3.6010917015999997
-749.9678,-167.9806,-0.6049,-1012.9390000000001,2.9457,-97.3314,23,3.7010917015999993
-730.3473,-178.5836,-0.4975,-995.1481,2.3024,-88.0221,24,3.8010917016
-711.7195,-188.9152,-0.4107,-978.706,1.8073,-79.4679,25,3.9010917016000004
-694.0116,-198.9322,-0.342,-963.5298,1.4267,-71.6707,26,4.0010917016
-677.1577,-208.6127,-0.285,-949.5369,1.1341,-64.6156,27,4.1010917016
-661.0977,-217.9557,-0.2368,-936.6467,0.9074,-58.2639,28,4.201091701599999
-645.7771,-226.9714,-0.1985,-924.7814000000001,0.7298,-52.5642,29,4.3010917016
-631.1464,-235.6706,-0.1678,-913.8624000000001,0.5907,-47.4683,30,4.401091701600001
-617.1603,-244.0728,-0.1422,-903.8168000000001,0.4816,-42.9231,31,4.5010917016
-603.7772,-252.2021,-0.1207,-894.5786,0.394,-38.8726,32,4.6010917016
-590.9593,-260.0804,-0.1027,-886.0826000000001,0.3225,-35.2627,33,4.7010917016
-578.6716,-267.7258,-0.088,-878.2657999999999,0.266,-32.0464,34,4.801091701600001
-566.8823,-275.1565,-0.0758,-871.0723,0.222,-29.1797,35,4.9010917015999995
-555.5617,-282.3876,-0.0657,-864.4507,0.1853,-26.621,36,5.0010917016
-544.6826,-289.4332,-0.057,-858.3535,0.1529,-24.3336,37,5.1010917016
-534.22,-296.3043,-0.0497,-852.7339000000002,0.1261,-22.286,38,5.2010917016
-524.1504,-303.0091,-0.0435,-847.5484,0.1052,-20.4506,39,5.301091701599999
-514.4523,-309.5555,-0.0383,-842.7598,0.0882,-18.8019,40,5.4010917016
-505.1057,-315.9493,-0.0338,-838.3339,0.0729,-17.318,41,5.5010917016
-496.0918,-322.1951,-0.0298,-834.2364,0.0599,-15.9796,42,5.6010917016
-487.3934,-328.2963,-0.0262,-830.4361,0.0502,-14.7704,43,5.701091701599999
-478.9943,-334.2565,-0.0232,-826.9067,0.0431,-13.6758,44,5.8010917016
-470.8793,-340.0786,-0.0206,-823.624,0.037,-12.6825,45,5.9010917016
-463.0343,-345.7647,-0.0184,-820.5665,0.0306,-11.7797,46,6.0010917016
-455.4461,-351.317,-0.0164,-817.7123,0.0245,-10.9573,47,6.1010917016
-448.1025,-356.7375,-0.0147,-815.0422000000001,0.0197,-10.2072,48,6.201091701600001
-440.9917,-362.0292,-0.0132,-812.5395,0.0164,-9.5218,49,6.301091701599999
-414.6696,-381.9508,-0.0087,-803.924,0.0085,-7.3034,50,6.701091701600003
-396.9011,-395.6523,-0.0065,-798.6141,0.005,-6.0592,51,7.0010917016
-391.3119,-400.0116,-0.0059,-797.0309000000001,0.0039,-5.7054,52,7.1010917016
-385.8779,-404.2759,-0.0054,-795.5336,0.0032,-5.3776,53,7.201091701599999
-380.5927,-408.4418,-0.0049,-794.1101,0.0028,-5.0735,54,7.301091701600001
-375.4503,-412.5083,-0.0045,-792.7515000000001,0.0025,-4.7909,55,7.4010917016
-370.4451,-416.4761,-0.0041,-791.4513000000001,0.0021,-4.5281,56,7.5010917016
