cls_elec,ct,disp,int,mod_pauli,pol,index
-1293.6991,-19.8315,-30.1385,-801.1146,586.296,-43.7415,1
-1292.3262,-19.8643,-30.166,-800.0087,586.1817,-43.8339,2
-1288.1744,-19.9993,-30.2549,-796.676,585.8696,-44.117,3
-1281.1462,-20.2379,-30.4237,-790.9545999999999,585.461,-44.6078,4
-1271.0902,-20.5638,-30.7077,-782.5493000000001,585.1547,-45.3423,5
-1257.8289,-20.9935,-31.1643,-771.0406,585.3308,-46.3847,6
-1241.2317,-21.561,-31.8837,-755.8044,586.7191,-47.8471,7
-1221.3937,-22.3133,-33.0132,-735.8548000000001,590.7916,-49.9262,8
-1199.0674,-23.3536,-34.7748,-709.505,600.6802,-52.9894,9
-1176.7088,-24.9495,-37.5088,-673.4949000000001,623.4624,-57.7902,10
-1194.856,-15.2902,-25.3124,-861.9046000000001,410.7648,-37.2108,11
-1193.5198,-15.3065,-25.336,-860.7683000000001,410.6943,-37.3003,12
-1189.4734,-15.3905,-25.4154,-857.35,410.5023,-37.573,13
-1182.6042,-15.5688,-25.5673,-851.5301000000001,410.2528,-38.0426,14
-1172.727,-15.8441,-25.8192,-843.0503000000002,410.0799,-38.7399,15
-1159.5971,-16.2221,-26.2175,-831.5234999999999,410.2347,-39.7215,16
-1142.951,-16.7117,-26.8416,-816.3880999999999,411.2008,-41.0846,17
-1122.6218,-17.343,-27.8264,-796.8056999999999,413.9845,-42.999,18
-1098.8436,-18.1886,-29.374,-771.4452999999999,420.7314,-45.7705,19
-1073.0305,-19.4259,-31.7926,-737.8266000000001,436.4163,-49.9939,20
-1114.4223,-11.9823,-21.266,-889.8048999999999,291.0985,-33.2328,21
-1113.1293,-11.9866,-21.2881,-888.6624999999999,291.056,-33.3145,22
-1109.2104,-12.0308,-21.3577,-885.2217999999999,290.939,-33.5619,23
-1102.5447,-12.1594,-21.4886,-879.3924,290.7874,-33.9871,24
-1092.9283,-12.3944,-21.7062,-870.9567000000001,290.6885,-34.6163,25
-1080.0762,-12.735,-22.0522,-859.5487999999999,290.8131,-35.4985,26
-1063.6402,-13.1754,-22.5951,-844.6383,291.4943,-36.7219,27
-1043.2764,-13.7372,-23.4503,-825.4936,293.409,-38.4387,28
-1018.8508,-14.4784,-24.7984,-801.0016,298.044,-40.918,29
-991.0102,-15.5179,-26.9291,-769.2166000000001,308.8991,-44.6585,30
-1047.2666,-9.5161,-17.9123,-896.8677999999999,208.5578,-30.7306,31
-1046.0193,-9.5134,-17.9326,-895.7359999999999,208.5316,-30.8023,32
-1042.2366,-9.5337,-17.9951,-892.3259999999999,208.4593,-31.0199,33
-1035.7938,-9.6287,-18.1083,-886.5604999999999,208.3633,-31.393,34
-1026.4778,-9.8283,-18.2943,-878.2363,208.3073,-31.9432,35
-1013.9811,-10.132,-18.5908,-867.0107999999999,208.4074,-32.7143,36
-997.9037,-10.534,-19.0593,-852.3888999999999,208.8935,-33.7854,37
-977.7861,-11.0516,-19.7996,-833.7107000000001,210.2234,-35.2968,38
-953.2379,-11.7339,-20.9692,-810.0053999999999,213.4275,-37.4919,39
-924.3435,-12.6692,-22.8334,-779.6795,220.9762,-40.8096,40
-989.9411,-7.7109,-15.083,-890.7897,150.9549,-29.0096,41
