cls_elec,ct,disp,int,mod_pauli,pol,index
-859.2234,-9.1648,-28.4063,-658.3993999999999,309.0401,-70.645,1
-858.3267,-9.1863,-28.5134,-657.4951,309.1821,-70.6508,2
-855.6322,-9.2644,-28.8293,-654.7482000000001,309.6587,-70.681,3
-851.1388,-9.4252,-29.3725,-650.0789999999998,310.6446,-70.7871,4
-844.8936,-9.7006,-30.2984,-643.4273,312.5228,-71.0575,5
-837.1066,-10.1358,-31.6767,-634.4785999999999,316.086,-71.6455,6
-828.4233,-10.8064,-33.8668,-622.8815000000001,323.0081,-72.7931,7
-820.5839,-11.8649,-37.2792,-607.6653,336.967,-74.9043,8
-818.0432,-13.7007,-42.6609,-586.6826999999998,366.4343,-78.7122,9
-832.0585,-17.3458,-51.39,-554.7084,431.8981,-85.8122,10
-816.6399,-8.4655,-24.0973,-681.0398,234.8823,-66.7194,11
-815.7378,-8.483,-24.1789,-680.1401,234.9799,-66.7203,12
-813.0173,-8.5502,-24.4384,-677.4327,235.3075,-66.7343,13
-808.4447,-8.6948,-24.8937,-672.8477999999999,235.9862,-66.8008,14
-801.9957,-8.9409,-25.6614,-666.3186000000001,237.282,-67.0026,15
-793.7342,-9.3193,-26.8628,-657.6391,239.7503,-67.4731,16
-784.009,-9.8864,-28.7179,-646.4549,244.5787,-68.4203,17
-773.9472,-10.7522,-31.6331,-632.0816,254.4246,-70.1737,18
-766.7102,-12.19,-36.2802,-612.9389,275.55,-73.3085,19
-770.7603,-14.9526,-43.8465,-585.0402,323.5018,-78.9826,20
-779.4418,-8.222,-20.4519,-692.3822,178.9362,-63.2027,21
-778.5462,-8.2348,-20.5252,-691.5005000000001,179.0039,-63.1982,22
-775.8391,-8.2911,-20.7291,-688.8226,179.2312,-63.1945,23
-771.2652,-8.4195,-21.1358,-684.3462000000001,179.7024,-63.2281,24
-764.7519,-8.6393,-21.7671,-677.9271,180.6032,-63.372,25
-756.2618,-8.9725,-22.7969,-669.4501,182.3229,-63.7418,26
-745.9311,-9.4599,-24.3803,-658.5922,185.7035,-64.5244,27
-734.4341,-10.1819,-26.8786,-644.8406,192.6599,-66.0059,28
-723.9483,-11.3314,-30.8969,-627.0229,207.8049,-68.6512,29
-720.7515,-13.4576,-37.4541,-602.1016,242.8953,-73.3337,30
-746.5488,-8.2608,-17.3798,-695.5034,136.6322,-59.9462,31
-745.6669,-8.2701,-17.438,-694.6305,136.6796,-59.9351,32
-742.9973,-8.317,-17.617,-692.0083999999999,136.8389,-59.916,33
-738.4706,-8.4298,-17.9436,-687.5953,137.169,-59.9203,34
-731.9825,-8.6267,-18.491,-681.3136999999999,137.8001,-60.0136,35
-723.4263,-8.9244,-19.3515,-672.9970999999999,139.006,-60.3009,36
-712.7875,-9.3511,-20.7008,-662.4019999999999,141.3836,-60.9462,37
-700.4087,-9.9646,-22.8593,-649.1315,146.3098,-62.2087,38
-687.7235,-10.903,-26.3178,-632.2631,157.1715,-64.4903,39
-679.3077,-12.5628,-32.0002,-609.5149999999999,182.8283,-68.4726,40
-717.1423,-8.442,-14.7704,-692.6745,104.5705,-56.8903,41
-716.2784,-8.4493,-14.8348,-691.8331,104.6041,-56.8747,42
-713.6604,-8.49,-14.979,-689.2526,104.7167,-56.8399,43
-709.2103,-8.5917,-15.2432,-684.9153999999999,104.95,-56.8202,44
-702.8034,-8.7706,-15.7138,-678.7622999999999,105.3957,-56.8702,45
-694.2864,-9.0383,-16.4255,-670.5912,106.2472,-57.0882,46
-683.5398,-9.4177,-17.5902,-660.241,107.928,-57.6213,47
-670.6654,-9.9498,-19.4388,-647.3304,111.4272,-58.7036,48
-656.5379,-10.7325,-22.4275,-631.1716,119.2239,-60.6976,49
-644.412,-12.0532,-27.4037,-610.0721999999998,137.9713,-64.1746,50
-690.5969,-8.6642,-12.5247,-685.5489000000001,80.2155,-53.9786,51
-689.7532,-8.6729,-12.5701,-684.7181,80.2394,-53.9613,52
-687.1944,-8.7109,-12.6871,-682.1904999999999,80.3197,-53.9178,53
-682.8377,-8.8044,-12.9164,-677.9489,80.4861,-53.8765,54
-676.5456,-8.9691,-13.2933,-671.8962000000001,80.8034,-53.8916,55
-668.1345,-9.2157,-13.917,-663.9036,81.4091,-54.0455,56
-657.4128,-9.5599,-14.9008,-653.751,82.6042,-54.4817,57
-644.3095,-10.0329,-16.4916,-641.1487999999999,85.0991,-55.4139,58
-629.2822,-10.7042,-19.0927,-625.5507,90.7042,-57.1758,59
-614.5659,-11.7761,-23.4095,-605.6223,104.3983,-60.2691,60
-666.4294,-8.8682,-10.6425,-675.4221,61.6717,-51.1537,61
-665.6068,-8.8778,-10.6782,-674.6098999999999,61.6889,-51.136,62
-663.1109,-8.9175,-10.7789,-672.1467,61.7467,-51.0861,63
-658.8561,-9.0072,-10.9665,-667.9906,61.8663,-51.0271,64
-652.6978,-9.1615,-11.285,-662.0593,62.0941,-51.0091,65
-644.4334,-9.3903,-11.813,-654.2184,62.528,-51.1097,66
-633.8224,-9.7083,-12.6578,-644.2660999999999,63.3832,-51.4608,67
-620.6721,-10.1397,-14.0071,-631.9144,65.17,-52.2655,68
-605.1315,-10.7312,-16.2353,-616.7208999999999,69.2083,-53.8312,69
-588.6524,-11.6264,-20.0314,-597.7158999999999,79.2122,-56.6179,70
-644.2636,-9.0135,-9.0077,-663.2089,47.5197,-48.4438,71
-643.4623,-9.0251,-9.0397,-662.4175,47.5322,-48.4226,72
-641.0302,-9.0672,-9.1174,-660.0079,47.5741,-48.3672,73
-636.8808,-9.155,-9.2786,-655.9490999999999,47.6606,-48.2953,74
-630.8659,-9.3013,-9.5505,-650.1418,47.8254,-48.2495,75
-622.7715,-9.5177,-9.9693,-642.4264999999999,48.1386,-48.3066,76
-612.3255,-9.8161,-10.6769,-632.6463000000001,48.7546,-48.5824,77
-599.2498,-10.2166,-11.84,-620.5389,50.0408,-49.2733,78
-583.4684,-10.7535,-13.7889,-605.7217,52.9588,-50.6697,79
-565.8348,-11.5247,-17.1068,-587.394,60.2712,-53.1989,80
-623.8036,-9.0918,-7.6459,-649.6638999999999,36.6941,-45.8167,81
-623.0234,-9.1049,-7.668,-648.8874000000002,36.7031,-45.7942,82
-620.6545,-9.1496,-7.7374,-646.5387,36.7337,-45.7309,83
-616.6108,-9.2361,-7.8692,-642.5677,36.7967,-45.6483,84
-610.7426,-9.3765,-8.0942,-636.8789,36.9167,-45.5823,85
-602.8301,-9.5815,-8.4378,-629.3056,37.1443,-45.6005,86
-592.5815,-9.8658,-9.0443,-619.7157000000001,37.591,-45.8151,87
-579.6606,-10.244,-10.0381,-607.8255,38.5221,-46.4049,88
-563.8281,-10.7448,-11.7278,-593.3144,40.6382,-47.6519,89
-545.4848,-11.4338,-14.6171,-575.5047999999999,45.9898,-49.9589,90
-604.8144,-9.1058,-6.4554,-635.2358000000002,28.3937,-43.2539,91
-604.0547,-9.1198,-6.4733,-634.4756000000001,28.4003,-43.2281,92
-601.7478,-9.1653,-6.5341,-632.1839,28.4226,-43.1593,93
-597.808,-9.25,-6.632,-628.2881,28.4688,-43.0669,94
-592.0862,-9.3842,-6.8229,-622.7200999999999,28.5566,-42.9834,95
-584.3603,-9.5813,-7.1425,-615.3310000000001,28.7231,-42.97,96
-574.327,-9.8545,-7.6228,-605.8874,29.0492,-43.1323,97
-561.6115,-10.2162,-8.4838,-594.2176999999999,29.7273,-43.6335,98
-545.8583,-10.6905,-9.93,-579.9536999999999,31.2684,-44.7433,99
-527.1282,-11.3256,-12.4666,-562.5816,35.1922,-46.8534,100
-587.1076,-9.0575,-5.4565,-620.3570000000001,22.015,-40.7504,101
-586.3678,-9.0721,-5.4684,-619.6129999999999,22.0199,-40.7246,102
-584.1208,-9.1169,-5.5006,-617.3552999999999,22.0362,-40.6532,103
-580.2822,-9.1995,-5.6124,-613.5768999999999,22.0702,-40.553,104
-574.7043,-9.3296,-5.7566,-608.1122000000001,22.1347,-40.4564,105
-567.1648,-9.5178,-5.9906,-600.8339,22.2572,-40.4179,106
-557.355,-9.779,-6.4525,-591.6221,22.4966,-40.5322,107
-544.8756,-10.1275,-7.1602,-580.1269,22.9935,-40.9571,108
-529.2894,-10.5844,-8.4012,-566.0997,24.1213,-41.946,109
-510.4045,-11.1886,-10.608,-549.072,27.0056,-43.8765,110
-570.5302,-8.9615,-4.611,-605.3131000000001,17.1025,-38.3129,111
-569.8095,-8.9751,-4.6222,-604.588,17.106,-38.2872,112
-567.6202,-9.0179,-4.6621,-602.3955,17.1181,-38.2134,113
-563.8795,-9.0978,-4.7303,-598.6728999999999,17.143,-38.1083,114
-558.4415,-9.2226,-4.8602,-593.3359,17.1906,-38.0022,115
-551.0855,-9.4028,-5.0813,-586.2316000000001,17.281,-37.943,116
-541.501,-9.6543,-5.4134,-577.1295,17.4578,-38.0186,117
-529.2747,-9.9908,-6.0522,-565.873,17.8241,-38.3794,118
-513.9132,-10.4335,-7.1278,-552.0790999999999,18.6539,-39.2585,119
-495.0383,-11.0188,-9.0218,-535.3181,20.7808,-41.02,120
-554.9566,-8.823,-3.8665,-590.2758,13.3113,-35.941,121
-554.2542,-8.8358,-3.8769,-589.5677999999999,13.3139,-35.9148,122
-552.1205,-8.877,-3.908,-587.4239999999999,13.3227,-35.8412,123
