cls_elec,ct,disp,int,mod_pauli,pol,index
-824.564,-34.3628,-42.8827,-582.8297,365.2706,-46.2908,1
-823.6684,-34.4683,-42.8891,-582.4445,365.1014,-46.5201,2
-820.9508,-34.7843,-42.9161,-581.2420000000001,364.6038,-47.1946,3
-816.3174,-35.2982,-42.9763,-579.0684,363.8084,-48.2849,4
-809.6073,-35.9776,-43.1015,-575.6701,362.7693,-49.753,5
-800.5911,-36.79,-43.3363,-570.7074,361.5775,-51.5675,6
-788.9799,-37.7267,-43.7544,-563.7874,360.4052,-53.7316,7
-774.486,-38.8125,-44.5239,-554.4804,359.6423,-56.3003,8
-757.0448,-40.1016,-45.8664,-542.1365,360.3065,-59.4302,9
-737.5557,-41.7023,-48.2389,-525.6157000000001,365.3033,-63.4221,10
-774.286,-29.1268,-36.2683,-600.7974999999999,277.8246,-38.941,11
-773.4158,-29.2068,-36.2717,-600.3389999999999,277.7,-39.1447,12
-770.7746,-29.4481,-36.2948,-598.9347999999999,277.3333,-39.7506,13
-766.2679,-29.8481,-36.3608,-596.4641,276.7456,-40.7329,14
-759.7326,-30.3879,-36.4594,-592.6709,275.9753,-42.0663,15
-750.9306,-31.0444,-36.6829,-587.3028,275.087,-43.7319,16
-739.5476,-31.8088,-37.0604,-579.9532999999999,274.2037,-45.7402,17
-725.2242,-32.7037,-37.7339,-570.2087,273.6028,-48.1497,18
-707.7039,-33.7776,-38.9436,-557.5212,274.0122,-51.1083,19
-687.3783,-35.1157,-41.0572,-540.895,277.5497,-54.8935,20
-732.1675,-24.7116,-30.7542,-609.6222,211.7818,-33.7707,21
-731.3222,-24.7714,-30.7589,-609.1172,211.6898,-33.9545,22
-728.7558,-24.955,-30.7865,-607.5791,211.4187,-34.5005,23
-724.3745,-25.265,-30.845,-604.8936000000001,210.9834,-35.3925,24
-718.0152,-25.6929,-30.9486,-600.8540000000002,210.4109,-36.6082,25
-709.4358,-26.2239,-31.133,-595.1815,209.7479,-38.1367,26
-698.3072,-26.8532,-31.4722,-587.5422,209.0831,-39.9927,27
-684.2239,-27.5983,-32.0716,-577.5169999999999,208.6158,-42.239,28
-666.7952,-28.5013,-33.1309,-564.5759,208.8686,-45.0171,29
-646.0364,-29.6334,-35.0221,-547.8987,211.3832,-48.59,30
-696.3741,-20.9525,-26.1568,-611.7760999999999,161.793,-30.0857,31
-695.5529,-20.9982,-26.1622,-611.2393999999999,161.7249,-30.251,32
-693.0591,-21.1386,-26.1833,-609.6023,161.524,-30.7453,33
-688.8002,-21.3792,-26.2384,-606.7715,161.2006,-31.5543,34
-682.6142,-21.7181,-26.3248,-602.545,160.7743,-32.6622,35
-674.2585,-22.1489,-26.4945,-596.6834000000001,160.2787,-34.0602,36
-663.3966,-22.6704,-26.7884,-588.8445,159.7786,-35.7677,37
-649.5944,-23.2976,-27.315,-578.6351000000001,159.4187,-37.8468,38
-632.3691,-24.0663,-28.2542,-565.5488,159.5762,-40.4354,39
-611.4609,-25.0332,-29.9341,-548.8445000000002,161.3738,-43.7901,40
-665.5284,-17.7263,-22.2893,-609.1608000000001,123.8736,-27.4904,41
-664.7304,-17.7617,-22.2891,-608.6004,123.823,-27.6422,42
-662.3066,-17.8704,-22.3145,-606.9084,123.6737,-28.0906,43
-658.1661,-18.0582,-22.3635,-603.9804000000001,123.433,-28.8256,44
-652.1488,-18.3274,-22.438,-599.6346000000001,123.1148,-29.8352,45
-644.0136,-18.6775,-22.5874,-593.6498,122.7438,-31.1151,46
-633.4218,-19.1119,-22.8416,-585.6892,122.3676,-32.6815,47
-619.9223,-19.645,-23.3005,-575.3741,122.0924,-34.5987,48
-602.9717,-20.3067,-24.1261,-562.213,122.1925,-37.001,49
-582.1114,-21.1432,-25.6162,-545.5196,123.4864,-40.1352,50
-638.5919,-14.9972,-19.0323,-603.1154,95.0494,-25.5434,51
-637.816,-15.0249,-19.0383,-602.5480000000001,95.0118,-25.6806,52
-635.4594,-15.1106,-19.0577,-600.8149999999999,94.9006,-26.0879,53
-631.4327,-15.2584,-19.0973,-597.8233,94.7211,-26.756,54
-625.5784,-15.4735,-19.169,-593.4128999999999,94.4831,-27.6751,55
-617.6582,-15.7596,-19.2912,-587.3479,94.2049,-28.8438,56
-607.3342,-16.1236,-19.512,-579.3266,93.9218,-30.2786,57
-594.147,-16.5802,-19.9095,-568.9637,93.7123,-32.0393,58
-577.514,-17.1564,-20.6282,-555.7783000000001,93.7776,-34.2573,59
-556.836,-17.8911,-21.9447,-539.1298,94.7166,-37.1746,60
-614.7768,-12.7135,-16.2746,-594.6705,73.0953,-24.0009,61
-614.0222,-12.7353,-16.2802,-594.0959,73.0673,-24.1255,62
-611.7299,-12.8035,-16.2888,-592.3323,72.9844,-24.4945,63
-607.8122,-12.9216,-16.3324,-589.3172,72.8502,-25.1012,64
-602.1147,-13.0951,-16.3908,-584.8665,72.672,-25.9379,65
-594.4026,-13.3313,-16.4944,-578.7672000000001,72.463,-27.0019,66
-584.3407,-13.6385,-16.686,-570.7302000000001,72.2497,-28.3147,67
-571.4673,-14.0327,-17.033,-560.3689,72.0907,-29.9266,68
-555.1757,-14.5382,-17.6595,-547.2029,72.1347,-31.9642,69
-534.7694,-15.1913,-18.8101,-530.6164,72.8221,-34.6677,70
-593.4824,-10.8268,-13.961,-584.6468,56.3423,-22.7189,71
-592.748,-10.844,-13.9635,-584.0652,56.3214,-22.8311,72
-590.5171,-10.8986,-13.9808,-582.3022000000001,56.2595,-23.1652,73
-586.7038,-10.9949,-14.0121,-579.2678000000001,56.1591,-23.7161,74
-581.1567,-11.1376,-14.0647,-574.8086000000001,56.0255,-24.4751,75
-573.6451,-11.3339,-14.1546,-568.709,55.8683,-25.4437,76
-563.8378,-11.5958,-14.318,-560.6831,55.7073,-26.6388,77
-551.2745,-11.938,-14.6126,-550.3501,55.5865,-28.1115,78
-535.3355,-12.3853,-15.1533,-537.237,55.6171,-29.98,79
-515.2583,-12.9717,-16.1763,-520.7593999999999,56.1247,-32.4778,80
-574.2471,-9.2916,-11.9691,-573.5289000000001,43.5349,-21.556,81
-573.5321,-9.3066,-11.9723,-572.9475,43.5193,-21.6558,82
-571.3597,-9.3514,-11.9859,-571.1828,43.473,-21.9588,83
-567.6462,-9.43,-12.0107,-568.1478000000001,43.3978,-22.4587,84
-562.2431,-9.5484,-12.0543,-563.6967000000001,43.2975,-23.1484,85
-554.9241,-9.7145,-12.1327,-557.6205,43.1791,-24.0283,86
-545.3629,-9.9392,-12.2754,-549.635,43.0574,-25.1149,87
-533.1029,-10.2386,-12.5303,-539.3642,42.9656,-26.458,88
-517.5192,-10.637,-13.0061,-526.3444,42.9873,-28.1694,89
-497.8061,-11.169,-13.8856,-509.9644,43.365,-30.4687,90
-556.7138,-8.0559,-10.2704,-561.7556999999999,33.7264,-20.442,91
-556.0172,-8.0683,-10.267,-561.1727000000001,33.7147,-20.5349,92
-553.9009,-8.1054,-10.2831,-559.418,33.68,-20.8086,93
-550.2826,-8.1706,-10.3079,-556.3988,33.6237,-21.2614,94
-545.0172,-8.2703,-10.3434,-551.9702,33.5483,-21.8876,95
-537.8829,-8.4126,-10.4128,-545.9354999999999,33.4591,-22.6863,96
