cls_elec,ct,disp,int,mod_pauli,pol,index,distances
406.0832,-2.427,-5.4005,394.4092999999999,14.6676,-18.514,1,3.4000000000000004
395.2744,-1.677,-4.483,382.1474,9.9578,-16.9248,2,3.5
384.8224,-1.1605,-3.7202,371.2493,6.7405,-15.4329,3,3.5999999999999996
374.7723,-0.8058,-3.0892,361.3859,4.5494,-14.0408,4,3.7
365.1421,-0.5623,-2.5787,352.308,3.0619,-12.755,5,3.8
355.9331,-0.3963,-2.1495,343.8625,2.0551,-11.5799,6,3.9000000000000004
347.1361,-0.2826,-1.7867,335.9318,1.3756,-10.5106,7,4.0
338.7362,-0.2036,-1.495,328.4148,0.9183,-9.5411,8,4.1
330.7149,-0.1486,-1.2593,321.25280000000004,0.6114,-8.6656,9,4.199999999999999
323.0526,-0.1101,-1.0564,314.41389999999996,0.4061,-7.8783,10,4.300000000000001
315.7293,-0.0826,-0.8923,307.8525,0.269,-7.1709,11,4.4
308.7253,-0.0627,-0.7631,301.5403,0.1778,-6.537,12,4.5
302.0219,-0.0486,-0.6504,295.471,0.1172,-5.9691,13,4.6
295.6011,-0.0383,-0.5503,289.6294,0.0771,-5.4602,14,4.699999999999999
289.4461,-0.0307,-0.4728,283.98929999999996,0.0506,-5.0039,15,4.800000000000001
283.5412,-0.025,-0.4125,278.5427,0.0332,-4.5942,16,4.9
277.8717,-0.0207,-0.3591,273.2883,0.0217,-4.2253,17,5.0
272.4241,-0.0174,-0.3121,268.21610000000004,0.0142,-3.8927,18,5.1
267.1858,-0.0149,-0.2756,263.3112,0.0092,-3.5933,19,5.199999999999999
262.1449,-0.0129,-0.2458,258.5696,0.006,-3.3226,20,5.300000000000001
257.2906,-0.0114,-0.2174,253.9888,0.0039,-3.0769,21,5.4
252.6127,-0.0101,-0.1907,249.561,0.0025,-2.8534,22,5.5
248.1019,-0.0091,-0.1699,245.2742,0.0016,-2.6503,23,5.6
243.7493,-0.0082,-0.1532,241.1237,0.0011,-2.4653,24,5.699999999999999
239.5468,-0.0075,-0.1373,237.10619999999997,0.0007,-2.2965,25,5.800000000000001
235.4867,-0.0069,-0.1223,233.21600000000004,0.0004,-2.1419,26,5.9
231.5619,-0.0063,-0.1103,229.4455,0.0003,-2.0001,27,6.0
227.7658,-0.0059,-0.101,225.78900000000002,0.0002,-1.8701,28,6.1
224.0922,-0.0055,-0.0921,222.2441,0.0001,-1.7506,29,6.199999999999999
220.5352,-0.0052,-0.0826,218.807,0.0001,-1.6405,30,6.300000000000001
217.0893,-0.0049,-0.074,215.4716,0.0,-1.5388,31,6.4
213.7495,-0.0046,-0.0678,212.2321,0.0,-1.445,32,6.5
210.5108,-0.0043,-0.0629,209.08539999999996,0.0,-1.3582,33,6.600000000000001
207.3689,-0.0041,-0.0574,206.0294,0.0,-1.278,34,6.700000000000001
204.3193,-0.0039,-0.0512,203.06060000000002,0.0,-1.2036,35,6.800000000000001
201.3582,-0.0037,-0.0461,200.1739,0.0,-1.1345,36,6.9
198.4816,-0.0035,-0.0431,197.36469999999997,0.0,-1.0703,37,7.0
195.6861,-0.0033,-0.0408,194.6313,0.0,-1.0107,38,7.100000000000001
192.9682,-0.0032,-0.0378,191.9721,0.0,-0.9551,39,7.199999999999999
190.3248,-0.003,-0.0339,189.38450000000003,0.0,-0.9034,40,7.300000000000001
187.7529,-0.0029,-0.0302,186.8648,0.0,-0.855,41,7.4
185.2495,-0.0027,-0.028,184.40890000000002,0.0,-0.8099,42,7.5
182.812,-0.0026,-0.027,182.01470000000003,0.0,-0.7677,43,7.6
180.4378,-0.0025,-0.0257,179.68140000000002,0.0,-0.7282,44,7.699999999999999
178.1245,-0.0024,-0.0234,177.4074,0.0,-0.6913,45,7.800000000000001
175.8698,-0.0023,-0.0206,175.1902,0.0,-0.6567,46,7.9
173.6714,-0.0022,-0.0184,173.0266,0.0,-0.6242,47,8.0
171.5273,-0.0021,-0.0175,170.91399999999996,0.0,-0.5937,48,8.100000000000001
169.4355,-0.002,-0.0173,168.85119999999998,0.0,-0.565,49,8.2
167.3941,-0.0019,-0.0169,166.8372,0.0,-0.5381,50,8.3
165.4013,-0.0018,-0.0156,164.8712,0.0,-0.5127,51,8.400000000000002
163.4554,-0.0018,-0.0137,162.9511,0.0,-0.4888,52,8.5
161.5548,-0.0017,-0.012,161.0748,0.0,-0.4663,53,8.600000000000001
159.6978,-0.0016,-0.0112,159.2399,0.0,-0.4451,54,8.7
157.8831,-0.0016,-0.0112,157.44520000000003,0.0,-0.4251,55,8.8
156.1091,-0.0015,-0.0113,155.6901,0.0,-0.4062,56,8.9
154.3746,-0.0015,-0.0109,153.97390000000001,-0.0,-0.3883,57,9.0
152.6782,-0.0014,-0.0098,152.2956,-0.0,-0.3714,58,9.1
151.0186,-0.0014,-0.0083,150.6535,-0.0,-0.3554,59,9.200000000000001
149.3948,-0.0013,-0.0072,149.046,-0.0,-0.3403,60,9.3
147.8055,-0.0013,-0.0069,147.47140000000002,-0.0,-0.3259,61,9.4
