cls_elec,ct,disp,int,mod_pauli,pol,index
-760.5202,-31.2335,-42.5757,-556.2168,325.659,-47.5464,1
-759.6899,-31.3165,-42.5921,-555.7758,325.5385,-47.7158,2
-757.1708,-31.5619,-42.6491,-554.411,325.1857,-48.2149,3
-752.8784,-31.9601,-42.7476,-551.985,324.6282,-49.0271,4
-746.67,-32.4972,-42.9604,-548.3377,323.9197,-50.1298,5
-738.3488,-33.1629,-43.3308,-543.1983,323.1629,-51.5187,6
-727.6899,-33.9651,-43.9938,-536.2974,322.5782,-53.2268,7
-714.5399,-34.9302,-45.1067,-527.2336,322.7009,-55.3577,8
-699.1491,-36.1179,-47.0408,-515.4816999999999,324.9605,-58.1344,9
-683.2299,-37.6915,-50.5121,-499.9861000000001,333.4378,-61.9904,10
-717.7026,-26.4165,-36.3365,-570.8140999999999,251.3828,-41.7413,11
-716.8936,-26.4814,-36.3578,-570.3362,251.2924,-41.8958,12
-714.4382,-26.6752,-36.4026,-568.8414000000001,251.0277,-42.3531,13
-710.2505,-26.9951,-36.5033,-566.24,250.6085,-43.0996,14
-704.1828,-27.4316,-36.6783,-562.3431,250.0739,-44.1243,15
-696.0247,-27.9766,-37.0013,-556.9290000000001,249.4981,-45.4245,16
-685.5141,-28.6374,-37.583,-549.7301,249.0393,-47.0349,17
-672.4002,-29.4392,-38.5716,-540.3843,249.0821,-49.0554,18
-656.6805,-30.4345,-40.3132,-528.4440000000001,250.6662,-51.682,19
-639.4073,-31.7498,-43.3549,-512.9680999999999,256.8288,-55.2849,20
-681.4302,-22.658,-31.0772,-578.0358,194.372,-37.2424,21
-680.6423,-22.7091,-31.0899,-577.5183,194.3041,-37.3811,22
-678.2506,-22.8639,-31.1308,-575.9358,194.1052,-37.7957,23
-674.1685,-23.1233,-31.2268,-573.2058,193.7897,-38.4769,24
-668.247,-23.4826,-31.3864,-569.1453,193.3863,-39.4156,25
-660.2675,-23.937,-31.6567,-563.5316,192.9492,-40.6196,26
-649.9445,-24.4923,-32.1511,-556.1166000000001,192.593,-42.1217,27
-636.9601,-25.1709,-33.0311,-546.5803,192.5955,-44.0137,28
-621.1284,-26.0178,-34.5611,-534.4756000000001,193.7135,-46.4818,29
-603.0,-27.1333,-37.2406,-519.0248,198.2018,-49.8527,30
-650.3069,-19.6363,-26.6072,-579.7883,150.5407,-33.7786,31
-649.5398,-19.6766,-26.6196,-579.2514,150.4896,-33.905,32
-647.2105,-19.802,-26.6573,-577.6121999999999,150.3399,-34.2823,33
-643.2333,-20.0139,-26.7334,-574.7808,150.1023,-34.9025,34
-637.4584,-20.3114,-26.8775,-570.6122,149.7978,-35.7627,35
-629.6646,-20.6943,-27.1242,-564.8878,149.4666,-36.8713,36
-619.5517,-21.1659,-27.5229,-557.3089,149.1924,-38.2608,37
-606.7571,-21.7468,-28.3118,-547.6622,149.1774,-40.0239,38
-590.963,-22.4767,-29.6607,-535.4596,149.9733,-42.3325,39
-572.3424,-23.4335,-32.0211,-520.035,153.2512,-45.4892,40
-623.265,-17.1568,-22.8006,-577.4744,116.7852,-31.0372,41
-622.518,-17.1902,-22.8149,-576.9275,116.7467,-31.1511,42
-620.2494,-17.2928,-22.8456,-575.2465000000001,116.634,-31.4927,43
-616.3745,-17.4681,-22.9158,-572.3607000000001,116.4548,-32.0571,44
-610.7447,-17.7166,-23.0399,-568.1183,116.2249,-32.842,45
-603.1376,-18.0401,-23.2313,-562.2921,115.9742,-33.8573,46
-593.2461,-18.4442,-23.6007,-554.6655,115.7647,-35.1392,47
-580.6784,-18.9471,-24.2562,-544.9087999999999,115.7444,-36.7715,48
-565.0235,-19.583,-25.44,-532.6507999999999,116.3169,-38.9212,49
-546.1726,-20.4144,-27.5727,-517.3179,118.7198,-41.878,50
-599.4853,-15.0795,-19.5929,-572.2265000000001,90.7455,-28.8143,51
-598.7577,-15.1089,-19.5957,-571.6641999999999,90.7165,-28.9184,52
-596.5477,-15.1952,-19.6293,-569.9683000000001,90.6315,-29.2276,53
-592.7719,-15.3407,-19.6958,-567.0517,90.4962,-29.7395,54
-587.2835,-15.5494,-19.8036,-562.7671,90.3226,-30.4532,55
-579.8613,-15.8246,-19.9634,-556.8965999999999,90.1329,-31.3802,56
-570.1951,-16.1739,-20.281,-549.231,89.9737,-32.5547,57
-557.8755,-16.613,-20.8403,-539.4337,89.9543,-34.0592,58
-542.4272,-17.1724,-21.8543,-527.1347,90.371,-36.0518,59
-523.533,-17.9041,-23.7532,-511.86379999999997,92.1408,-38.8143,60
-578.3375,-13.3001,-16.8534,-564.8869,70.6249,-27.0208,61
-577.6285,-13.3251,-16.864,-564.3309,70.603,-27.1163,62
-575.4748,-13.3992,-16.8822,-562.6143,70.5388,-27.3969,63
-571.7945,-13.5219,-16.937,-559.6767,70.4366,-27.8599,64
-566.4431,-13.6981,-17.0235,-555.3672999999999,70.3053,-28.5079,65
-559.2017,-13.934,-17.1814,-549.5079000000001,70.1619,-29.3527,66
-549.7598,-14.2373,-17.4531,-541.8343,70.0414,-30.4255,67
-537.6989,-14.6238,-17.9471,-532.0528999999999,70.0253,-31.8084,68
-522.5003,-15.1207,-18.834,-519.7736,70.3326,-33.6512,69
-503.6946,-15.769,-20.4886,-504.53110000000004,71.6432,-36.2221,70
-559.3341,-11.7664,-14.4868,-556.0387000000001,55.0532,-25.5046,71
-558.6429,-11.7882,-14.4909,-555.4747,55.0367,-25.5894,72
-556.5433,-11.8516,-14.5141,-553.7633,54.9881,-25.8424,73
-552.9548,-11.9563,-14.5427,-550.8064,54.9108,-26.2634,74
-547.7354,-12.1063,-14.6301,-546.5122,54.8115,-26.8519,75
-540.6693,-12.3089,-14.7708,-540.6639,54.703,-27.6179,76
-531.4482,-12.5731,-14.9853,-532.9918,54.612,-28.5972,77
-519.6493,-12.9152,-15.4189,-523.2465000000001,54.5998,-29.8629,78
-504.7265,-13.3592,-16.1705,-510.9901,54.8294,-31.5633,79
-486.1003,-13.9419,-17.6511,-495.8426999999999,55.8061,-33.9555,80
-542.0964,-10.44,-12.4707,-546.1799000000001,42.9838,-24.1566,81
-541.4223,-10.4586,-12.4684,-545.6116999999999,42.9713,-24.2337,82
-539.3745,-10.5131,-12.4887,-543.9045000000001,42.9345,-24.4627,83
-535.874,-10.603,-12.5338,-540.9775000000001,42.876,-24.8427,84
-530.7817,-10.7305,-12.5868,-536.6733,42.8008,-25.3751,85
