dists,energies
2.72770,-2670.6505516928
2.82770,-2670.6604248575
2.92770,-2670.6668088454
3.02770,-2670.6706202581
3.12770,-2670.6725290929
3.22770,-2670.6730811300
3.32770,-2670.6726437538
3.42770,-2670.6715244402
3.52770,-2670.6699408199
3.62770,-2670.6680478339
3.72770,-2670.6659749690
3.82770,-2670.6638122816
3.92770,-2670.6616233563
4.02770,-2670.6594517821
4.12770,-2670.6573281781
4.22770,-2670.6552738640
4.32770,-2670.6533025276
4.42770,-2670.6514230356
4.52770,-2670.6496392980
4.62770,-2670.6479473319
4.72770,-2670.6463421477
4.82770,-2670.6448225321
4.92770,-2670.6433779707
5.02770,-2670.6419971190
5.12770,-2670.6406712008
5.22770,-2670.6393843941
