dists,energies
2.28910,-1136.5290853506
2.38910,-1136.5433601148
2.48910,-1136.5523927548
2.58910,-1136.5576649275
2.68910,-1136.5602633202
2.78910,-1136.5609909356
2.88910,-1136.5604292346
2.98910,-1136.5590021526
3.08910,-1136.5570172723
3.18910,-1136.5546949853
3.28910,-1136.5521845467
3.38910,-1136.5496048021
3.48910,-1136.5470311804
3.58910,-1136.5445153397
3.68910,-1136.5420934012
3.78910,-1136.5397848974
3.88910,-1136.5375998679
3.98910,-1136.5355405542
4.08910,-1136.5336084020
4.18910,-1136.5317971874
4.28910,-1136.5300977432
4.38910,-1136.5284979184
4.48910,-1136.5269834291
4.58910,-1136.5255379789
4.68910,-1136.5241427867
4.78910,-1136.5227738349
