cls_elec,ct,disp,int,mod_pauli,pol,index,distances
-637.934,-265.5276,-28.8335,116.72170000000003,1237.9954,-188.9786,1,1.6205408051672865
-499.1713,-183.4636,-24.1553,-38.83199999999995,826.8024,-158.8442,2,1.7245408051672864
-401.6912,-128.9567,-20.0865,-136.55579999999998,552.3826,-138.204,3,1.8285408051672858
-332.0593,-92.2169,-16.604,-194.6481,369.2536,-123.0215,4,1.9325408051672863
-281.2633,-67.0409,-13.6914,-226.0845,247.0053,-111.0942,5,2.036540805167286
-243.3002,-49.5062,-11.2885,-239.909,165.3385,-101.1526,6,2.1405408051672863
-214.1802,-37.077,-9.2932,-242.33780000000004,110.7528,-92.5402,7,2.2445408051672864
-191.2477,-28.14,-7.6579,-237.56080000000003,74.2345,-84.7497,8,2.3485408051672865
-172.7261,-21.6247,-6.3182,-228.44369999999998,49.7951,-77.5698,9,2.452540805167286
-157.4179,-16.8278,-5.1983,-216.8936,33.4153,-70.8649,10,2.556540805167286
-144.5062,-13.2844,-4.2863,-204.17010000000002,22.4393,-64.5325,11,2.660540805167286
-133.4259,-10.6458,-3.5111,-191.10420000000002,15.0739,-58.5953,12,2.764540805167287
-123.7794,-8.6799,-2.8839,-178.18959999999998,10.1373,-52.9837,13,2.8685408051672856
-115.2809,-7.1902,-2.351,-165.7767,6.8163,-47.7709,14,2.9725408051672857
-107.7208,-6.0492,-1.9187,-154.0275,4.5838,-42.9226,15,3.076540805167286
-100.9418,-5.1509,-1.5579,-143.0313,3.0894,-38.4701,16,3.1805408051672854
-94.8234,-4.4264,-1.2668,-132.84410000000003,2.0801,-34.4076,17,3.2845408051672855
-89.2711,-3.8224,-1.0268,-123.44749999999999,1.4063,-30.7335,18,3.388540805167286
-84.2094,-3.3065,-0.8363,-114.83279999999999,0.9528,-27.4334,19,3.492540805167286
-79.577,-2.8583,-0.6851,-106.96530000000001,0.6386,-24.4835,20,3.596540805167286
-75.3231,-2.4618,-0.5569,-99.7859,0.4318,-21.8759,21,3.700540805167286
-71.4053,-2.111,-0.46,-93.2404,0.2972,-19.5613,22,3.8045408051672864
-67.7876,-1.7995,-0.3834,-87.28569999999999,0.2007,-17.5159,23,3.908540805167287
-64.439,-1.5222,-0.3179,-81.86659999999999,0.1364,-15.7239,24,4.012540805167286
-61.333,-1.2794,-0.2683,-76.9252,0.0984,-14.1429,25,4.116540805167286
-58.4461,-1.0687,-0.2287,-72.4212,0.068,-12.7457,26,4.220540805167286
-55.758,-0.886,-0.1943,-68.31670000000001,0.0406,-11.519,27,4.3245408051672865
-53.2508,-0.7307,-0.1658,-64.5583,0.0258,-10.4368,28,4.4285408051672865
-50.9084,-0.5996,-0.1431,-61.105199999999996,0.0227,-9.4768,29,4.5325408051672875
-48.7168,-0.4897,-0.1243,-57.936299999999996,0.0186,-8.6241,30,4.636540805167286
-46.6631,-0.3978,-0.1083,-55.025999999999996,0.0107,-7.8675,31,4.740540805167286
-44.7362,-0.3226,-0.095,-52.340399999999995,0.0063,-7.1929,32,4.844540805167286
-42.9257,-0.2609,-0.0836,-49.852,0.0081,-6.5899,33,4.948540805167286
-41.2225,-0.2106,-0.0738,-47.546899999999994,0.0094,-6.0494,34,5.052540805167286
-39.6182,-0.17,-0.0652,-45.4129,0.005,-5.5645,35,5.156540805167286
-38.1055,-0.1375,-0.0578,-43.430400000000006,-0.0015,-5.1281,36,5.2605408051672855
-36.6774,-0.1114,-0.0513,-41.5776,-0.0034,-4.7341,37,5.3645408051672865
-35.3279,-0.0905,-0.0458,-39.84139999999999,0.0003,-4.3775,38,5.468540805167286
-34.0511,-0.0736,-0.041,-38.21529999999999,0.0048,-4.0544,39,5.572540805167285
-32.8421,-0.06,-0.0368,-36.6946,0.0054,-3.7611,40,5.676540805167286
-31.6961,-0.0491,-0.0331,-35.27,0.0023,-3.494,41,5.780540805167286
-30.6089,-0.0403,-0.0298,-33.930299999999995,-0.0007,-3.2506,42,5.884540805167286
-29.5764,-0.0331,-0.0269,-32.6651,-0.0005,-3.0282,43,5.988540805167284
-28.5952,-0.0273,-0.0243,-31.469299999999997,0.0023,-2.8248,44,6.092540805167286
-27.6618,-0.0225,-0.0219,-30.34,0.0046,-2.6384,45,6.196540805167286
-26.7732,-0.0186,-0.0199,-29.275199999999998,0.0038,-2.4673,46,6.3005408051672855
-25.9266,-0.0153,-0.0181,-28.2697,0.0002,-2.3099,47,6.404540805167286
-25.1194,-0.0127,-0.0164,-27.316799999999997,-0.0033,-2.165,48,6.508540805167287
-24.3492,-0.0105,-0.015,-26.4103,-0.0043,-2.0313,49,6.612540805167286
-23.6138,-0.0087,-0.0137,-25.546200000000002,-0.002,-1.908,50,6.716540805167287
-22.9111,-0.0072,-0.0125,-24.722800000000003,0.0019,-1.7939,51,6.820540805167286
