cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
-11.9795,-0.0256,-0.1865,1.0,-12.880600000000001,0.0367,-0.7257,1
-20.3819,-0.6166,-2.8396,1.0,-24.3682,2.6319,-3.162,2
-51.7902,-8.5661,-9.0546,1.0,-48.1866,30.0798,-8.8555,3
-56.8783,-13.4851,-10.2597,1.0,-49.938,41.8176,-11.1325,4
-25.0613,-0.5295,-1.948,1.0,-28.8449,1.4336,-2.7397,5
-11.2295,-0.041,-0.186,1.0,-12.186300000000001,0.0405,-0.7703,6
-5.0384,-0.0213,-0.1736,1.0,-5.863800000000001,0.0325,-0.663,7
-67.583,-15.9605,-11.5479,1.0,-54.426500000000004,53.0802,-12.4153,8
-3.4413,-0.2895,-1.3258,1.0,-6.361700000000001,0.7936,-2.0987,9
-63.5232,-12.8047,-10.7093,1.0,-54.01390000000001,43.9073,-10.884,10
-11.9795,-0.0256,-0.1865,1.0,-12.880600000000001,0.0367,-0.7257,56
-20.3819,-0.6166,-2.8396,1.0,-24.3682,2.6319,-3.162,57
-51.7902,-8.5661,-9.0546,1.0,-48.1866,30.0798,-8.8555,58
-56.8783,-13.4851,-10.2597,1.0,-49.938,41.8176,-11.1325,59
-25.0613,-0.5295,-1.948,1.0,-28.8449,1.4336,-2.7397,60
-11.2295,-0.041,-0.186,1.0,-12.186300000000001,0.0405,-0.7703,61
-5.0384,-0.0213,-0.1736,1.0,-5.863800000000001,0.0325,-0.663,62
-67.583,-15.9605,-11.5479,1.0,-54.426500000000004,53.0802,-12.4153,63
-3.4413,-0.2895,-1.3258,1.0,-6.361700000000001,0.7936,-2.0987,64
-63.5232,-12.8047,-10.7093,1.0,-54.01390000000001,43.9073,-10.884,65
-59.0881,-10.1436,-9.8446,1.0,-52.9237,35.8208,-9.6682,111
-9.2043,-0.0112,-0.1034,1.0,-9.828200000000002,0.0125,-0.5218,112
-10.9082,-0.3817,-2.3984,1.0,-14.463400000000002,1.9322,-2.7073,113
-11.9416,-0.037,-0.1857,1.0,-12.881,0.0409,-0.7576,114
-51.7345,-8.3638,-9.263,1.0,-47.15999999999999,30.969,-8.7677,115
-21.5431,-0.568,-2.5031,1.0,-25.4676,2.1292,-2.9826,116
-10.01,-0.0516,-0.2155,1.0,-11.060300000000002,0.0528,-0.836,117
-54.5199,-6.6941,-9.4003,1.0,-49.0148,29.7261,-8.1266,118
-7.2882,-0.014,-0.1095,1.0,-7.9352,0.0156,-0.5391,119
-67.3005,-19.39,-12.1377,1.0,-51.5763,61.2568,-14.0049,120
-49.4492,-5.6577,-7.7618,1.0,-49.532199999999996,20.8513,-7.5148,166
-51.398,-9.9677,-8.8021,1.0,-49.6835,29.9574,-9.4731,167
-9.5364,-0.0522,-0.3642,1.0,-10.8385,0.1024,-0.9881,168
-18.5224,-0.3689,-1.7008,1.0,-21.873700000000003,1.0951,-2.3767,169
-5.4931,-0.1998,-1.0726,1.0,-8.0448,0.5323,-1.8116,170
-57.3158,-15.0721,-10.7343,1.0,-48.456599999999995,46.4926,-11.827,171
-61.6781,-12.7526,-10.4735,1.0,-53.40440000000001,42.3685,-10.8687,172
-53.6859,-7.979,-8.6947,1.0,-51.4991,27.4888,-8.6283,173
-10.6207,-0.4945,-2.4701,1.0,-14.3637,2.0991,-2.8775,174
-3.4951,-0.2831,-1.0661,1.0,-6.190600000000001,0.579,-1.9253,175
-57.8522,-9.4911,-9.6727,1.0,-52.1833,34.1939,-9.3612,221
-9.4435,-0.0154,-0.1234,1.0,-10.14,0.0221,-0.5798,222
-11.532,-0.4291,-2.7318,1.0,-15.1694,2.4237,-2.9002,223
-13.0048,-0.0371,-0.2007,1.0,-13.976799999999999,0.0449,-0.7791,224
-57.5702,-9.6699,-9.4748,1.0,-52.8536,33.2879,-9.4266,225
-22.2592,-0.6868,-2.9397,1.0,-26.331,2.8347,-3.28,226
-4.9157,-0.1593,-0.7876,1.0,-7.0917,0.3361,-1.5652,227
-57.3754,-12.7206,-10.2278,1.0,-50.1146,40.97,-10.7608,228
-5.4868,-0.0216,-0.1601,1.0,-6.286499999999999,0.0292,-0.6472,229
-65.7652,-18.5828,-11.8703,1.0,-51.50329999999999,58.301,-13.586,230
-55.2759,-10.998,-9.4105,1.0,-51.33369999999999,34.334,-9.9833,276
-9.557,-0.0117,-0.0951,1.0,-10.1708,0.0114,-0.5184,277
-14.7063,-0.4194,-1.9267,1.0,-18.2338,1.3662,-2.5476,278
-48.5552,-8.8195,-8.4005,1.0,-47.7534,26.9309,-8.9091,279
-68.0967,-15.7406,-11.5675,1.0,-54.627300000000005,53.0653,-12.2878,280
-23.0819,-0.5004,-2.0195,1.0,-26.8217,1.4971,-2.717,281
-1.2427,-0.1659,-0.936,1.0,-3.5868,0.4443,-1.6865,282
-15.9205,-0.354,-1.4625,1.0,-19.0977,0.8829,-2.2436,283
-3.6177,-0.0161,-0.1259,1.0,-4.3003,0.018,-0.5586,284
-62.6899,-17.1222,-11.4128,1.0,-50.685300000000005,53.3792,-12.8396,285
-58.7581,-12.6869,-10.2878,1.0,-51.2072,41.2922,-10.7666,331
-47.893,-8.0729,-8.4263,1.0,-46.562200000000004,26.3983,-8.5683,332
-6.2602,-0.0203,-0.1779,1.0,-7.0988,0.03,-0.6704,333
-30.2752,-1.1362,-3.9456,1.0,-34.5107,4.9343,-4.088,334
14.1048,-0.1314,-1.1719,1.0,11.566300000000002,0.6493,-1.8845,335
-0.0848,-0.1899,-1.1687,1.0,-2.7084,0.6144,-1.8794,336
-21.6453,-0.4415,-1.7189,1.0,-25.1648,1.143,-2.5021,337
-53.2152,-10.5545,-9.7804,1.0,-47.2046,36.1028,-9.7573,338
-14.0694,-0.0549,-0.2733,1.0,-15.2431,0.0686,-0.9141,339
-69.2563,-15.7285,-11.6975,1.0,-55.2029,53.8148,-12.3354,340
-54.0323,-10.2716,-9.3709,1.0,-49.9173,33.4005,-9.643,386
-55.1708,-8.0244,-9.015,1.0,-51.7729,29.1198,-8.6825,387
-57.9306,-11.9197,-10.2735,1.0,-50.1164,40.4171,-10.4097,388
2.3407,-0.1861,-1.2437,1.0,-0.3452,0.681,-1.9371,389
-14.1963,-0.0633,-0.3024,1.0,-15.446600000000002,0.0802,-0.9648,390
-6.3632,-0.0225,-0.1914,1.0,-7.238199999999999,0.0372,-0.6983,391
-31.0763,-1.243,-4.0979,1.0,-35.2978,5.3476,-4.2282,392
-64.2605,-15.8601,-11.1625,1.0,-53.46339999999999,50.1471,-12.3274,393
-7.8459,-0.2975,-1.7597,1.0,-11.0568,1.1625,-2.3162,394
