cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
-68.4351,-3.6217,-0.0916,1.0,-90.2356,0.0509,-18.1381,1
-220.9269,-15.8166,-4.6254,1.0,-326.19809999999995,53.8652,-138.6944,2
-65.1295,-4.4375,-0.126,1.0,-91.4624,0.0895,-21.8589,3
-219.0638,-15.2293,-4.4008,1.0,-325.8715,48.3532,-135.5308,4
-51.4047,-3.6206,-0.0384,1.0,-65.4245,0.01,-10.3708,5
-221.2349,-16.1969,-4.7022,1.0,-324.8828,55.9658,-138.7146,6
-226.2362,-16.8078,-5.0285,1.0,-325.23269999999997,64.9026,-142.0628,7
-225.2778,-16.0249,-4.754,1.0,-329.2338,57.2245,-140.4016,8
-224.7493,-15.8247,-4.681,1.0,-330.2305,55.2548,-140.2303,9
-68.0638,-3.5758,-0.089,1.0,-89.5325,0.0449,-17.8488,10
-37.2125,-10.5976,-8.882,0.0,-16.856699999999996,45.6586,-5.8232,11
2.5957,-0.0034,-0.1437,0.0,2.4067,0.0067,-0.0486,12
4.1449,-0.013,-0.5936,0.0,3.5570000000000004,0.1504,-0.1317,13
1.03,-0.0012,-0.0192,0.0,1.0012999999999999,0.0,-0.0083,14
2.499,-0.0063,-0.2756,0.0,2.1840000000000006,0.0329,-0.066,15
-27.9456,-6.8637,-7.5866,0.0,-14.8501,31.6164,-4.0706,16
2.043,-0.0021,-0.0727,0.0,1.9363000000000001,0.0008,-0.0327,17
1.9996,-0.002,-0.0673,0.0,1.9000000000000001,0.0006,-0.0309,18
0.8639,-0.0004,-0.0095,0.0,0.8490000000000001,-0.0,-0.005,19
2.1574,-0.0036,-0.1617,0.0,1.9424,0.007,-0.0567,20
7.4359,-0.2644,-4.5786,0.0,10.664099999999998,8.9279,-0.8567,21
1.3413,-0.0015,-0.0309,0.0,1.2947,0.0,-0.0142,22
6.5025,-0.2387,-4.2179,0.0,8.7794,7.5438,-0.8103,23
9.921,-0.617,-5.0072,0.0,12.630099999999999,9.3179,-0.9846,24
8.465,-0.304,-4.0396,0.0,9.5842,6.2062,-0.7434,25
4.7124,-0.009,-0.491,0.0,4.1634,0.1043,-0.1533,26
1.9547,-0.0022,-0.0717,0.0,1.851,0.0008,-0.0306,27
1.9966,-0.0026,-0.0994,0.0,1.8639000000000001,0.0016,-0.0323,28
-31.2182,-8.2999,-8.0521,0.0,-15.9801,36.1864,-4.5963,29
-33.6518,-9.069,-8.5264,0.0,-15.732800000000001,40.542,-5.0276,30
-35.2038,-9.7004,-8.8345,0.0,-15.505500000000005,43.5438,-5.3106,31
1.99,-0.003,-0.0924,0.0,1.8649,0.0021,-0.0318,32
7.6267,-0.1224,-1.6882,0.0,6.386899999999999,0.918,-0.3472,33
0.8109,-0.0018,-0.0398,0.0,0.7574999999999998,0.0001,-0.0119,34
1.6707,-0.0029,-0.0954,0.0,1.5479000000000003,0.0019,-0.0264,35
4.716,-0.0085,-0.4727,0.0,4.185500000000001,0.0979,-0.1472,36
3.6675,-0.4194,-4.5931,0.0,6.082000000000001,8.285,-0.858,37
5.4242,-0.3256,-4.4416,0.0,7.924999999999999,8.1048,-0.8368,38
5.624,-0.3224,-4.7481,0.0,9.1031,9.4517,-0.9021,39
3.5417,-0.0107,-0.4876,0.0,3.047,0.1038,-0.1002,40
-0.709,-0.0237,-0.4384,0.0,-1.2244000000000002,0.0651,-0.1184,41
-0.8326,-0.0371,-0.6603,0.0,-1.5356999999999998,0.1487,-0.1544,42
1.2892,-0.0025,-0.068,0.0,1.1979999999999997,0.0009,-0.0216,43
-34.8616,-9.0887,-8.2375,0.0,-18.144100000000005,39.2643,-5.2206,44
2.3686,-0.0042,-0.1516,0.0,2.1818,0.0093,-0.0403,45
9.5725,-0.5413,-5.7627,0.0,15.364800000000002,13.1891,-1.0928,46
8.5095,-0.2024,-3.8237,0.0,9.960999999999999,6.2103,-0.7327,47
8.0673,-0.3441,-4.6945,0.0,11.189200000000001,9.0442,-0.8837,48
3.3192,-0.0045,-0.2484,0.0,3.0056,0.023,-0.0837,49
4.6013,-0.0098,-0.5444,0.0,4.024000000000001,0.1332,-0.1563,50
9.2749,-0.2874,-3.9515,0.0,10.194,5.9063,-0.7483,51
1.9439,-0.0021,-0.067,0.0,1.8451,0.0006,-0.0303,52
11.6589,-0.543,-4.8273,0.0,13.548499999999997,8.2355,-0.9756,53
-39.2517,-11.588,-9.2776,0.0,-16.2471,50.1526,-6.2824,54
-28.1977,-6.8884,-7.3808,0.0,-16.4527,30.0652,-4.051,55
-68.4351,-3.6217,-0.0916,1.0,-90.2356,0.0509,-18.1381,56
-220.9269,-15.8166,-4.6254,1.0,-326.19809999999995,53.8652,-138.6944,57
-65.1295,-4.4375,-0.126,1.0,-91.4624,0.0895,-21.8589,58
-219.0638,-15.2293,-4.4008,1.0,-325.8715,48.3532,-135.5308,59
-51.4047,-3.6206,-0.0384,1.0,-65.4245,0.01,-10.3708,60
-221.2349,-16.1969,-4.7022,1.0,-324.8828,55.9658,-138.7146,61
-226.2362,-16.8078,-5.0285,1.0,-325.23269999999997,64.9026,-142.0628,62
